"","names","coefficients","sign","antilog"
"145","PFD0785c",0,"POS",1
"146","PFL1715w",0,"POS",1
"147","PFE1255w",0,"POS",1
"148","MAL8P1.123",0,"POS",1
"149","PF14_0455",0,"POS",1
"150","PFL0925w",0,"POS",1
"151","PFL1490w",0,"POS",1
"152","PFL0885w",0,"POS",1
"153","PF14_0071",0,"POS",1
"154","PF14_0350",0,"POS",1
"155","PFB0395w",0,"POS",1
"156","PFI0855w",0,"POS",1
"157","PFF1390w",0,"POS",1
"158","PF11_0329",0,"POS",1
"159","PF14_0140",0,"POS",1
"160","PFL0865w",0,"POS",1
"161","PF14_0372",0,"POS",1
"162","PF11_0087",0,"POS",1
"163","PFB0920w",0,"POS",1
"164","PFF0490w",0,"POS",1
"165","MAL13P1.256",0,"POS",1
"166","PFD0285c",0,"POS",1
"167","PFE0260w",0,"POS",1
"168","PF14_0286",0,"POS",1
"169","PFD0545w",0,"POS",1
"170","PFL2520w",0,"POS",1
"171","PF10_0084",0,"POS",1
"172","MAL8P1.153",0,"POS",1
"173","PF14_0606",0,"POS",1
"174","PFF0595c",0,"POS",1
"175","",NA,NA,NA
