X;DHB4TP1.1;DHB4TP1.2;DHB4TP1.1t;DHB4TP2.1;DHB4TP2.2;DHB4TP2t;DHB4TP3.1;DHB4TP3.2;DHB4TP3t;DHB4TP1.1c;DHB4TP1.2c;DHB4TP1.1tc;DHB4TP1.2tc;DHB4TP2.1c;DHB4TP2.2c;DHB4TP2tc;DHB4TP3.1c;DHB4TP3.2c;DHB4TP3tc
PF3D7_0209000;0.32497783;-0.354057939;0.13337158;0.099929534;-0.198593235;-0.113575142;-0.473817418;-0.661045976;-0.392878459;-0.050270441;-0.142975518;-0.539990395;0.129568003;-0.24770007;0.193911181;-0.419438506;-0.291191989;0.187048738;-0.004274454
PF3D7_0209100;0.005859915;-0.338387221;0.078352763;-0.09028033;-0.092845727;-0.051320565;0.210808636;-0.163716987;-0.318174903;-0.683228563;-0.406688869;-0.413739848;-0.419807312;-0.977300651;-1.019026395;-0.561525065;-0.184240614;-0.451272446;-0.447391669
PF3D7_0209200;0.378181898;0.268245147;0.44411161;0.776893266;0.561225772;0.061727724;0.286142106;0.244547798;0.297115721;0.49067415;0.702444778;0.464972559;0.511634215;0.013173436;0.001797437;0.227862167;-0.023179029;0.018801899;-0.276936255
PF3D7_0209300;0.303714003;0.131100912;-0.803258089;0.2144571315;0.0609537305;0.1453568645;0.014528625;0.096070294;-0.0893202865;0.351347276;-0.1264577535;0.310759009;0.404153935;0.265114789;0.475356619;0.500504628;0.226469658;0.2702899245;0.0818837745
PF3D7_0209500;-0.217054068;-0.198238429;-0.158053419;-0.116958807;-0.2498593805;-0.0369147685;-0.021513826;-0.1661831495;0.000509357499999998;-0.3068128385;-0.0660606145;0.0091176025;-0.0244544615;-0.395878216;-0.5067155855;-0.353104189;-0.4182573835;-0.2551595045;-0.215204185
PF3D7_0209600;-0.289035868;-0.235625215;-1.072342929;0.292012376;0.24011899;-0.203214014;0.333453914;0.139666672;0.107973905;0.922234001;0.348324729;0.234123028;0.228191673;1.326349284;1.014651061;0.882732471;1.524129436;1.634480648;1.348073424
PF3D7_0209700;-0.655740621;-0.495719554;-0.328851334;-0.226705073;-0.689177798;-0.230347056;-0.736758734;-0.646650473;-0.373279644;-1.337482007;-0.825487313;-0.796936722;-0.601574798;-1.146082722;-1.326608998;-1.023576652;-0.750762548;-0.967691702;-0.98490322
PF3D7_0209800;0.2700170565;0.076609649;-0.1910332005;-0.0461444795;-0.1127712525;0.0351327535;0.1728796355;-0.0271753925;-0.336160273;-0.6215406505;-1.0575845665;0.5349504515;0.5597636015;-0.0902442965;-0.1137360825;-0.0453943965;-0.2104301775;-0.170988998;0.0409227715
PF3D7_0210000;0.994951591;1.303583649;1.123305304;1.157779954;1.308856321;1.291816722;1.59333727;1.470281438;1.521842948;0.767811549;1.210220244;0.504609253;0.467476986;0.770738461;0.783659753;0.736685773;0.426461603;0.516858157;0.389410498
PF3D7_0210100;0.312063574;0.450762219;0.897881809;0.27177767;0.423268946;0.398910878;0.274210624;0.321217741;0.545701369;0.812168872;1.026234894;0.346349425;0.379169949;0.331672031;0.3879135;0.408297925;0.109625012;0.050676956;0.143439512
