X;ArtTP1;ArtTP2;ArtTP3;ArtTP4;ArtTP5;ArtTP1c;ArtTP2c;ArtTP3c;ArtTP4c;ArtTP5c
PF3D7_0504900;0.144;0.579;0.573;0.617;0.314;0.379;0.731;0.379;0.249;-0.249
PF3D7_0505000;-1.0294;-1.0764;-0.7068;-0.499;-1.0092;-1.0116;-0.7774;-1.3636;-1.5716;-1.6824
PF3D7_0505100;0.3434;0.3862;0.5496;0.5898;0.2882;0.3582;0.7394;0.4866;-0.2266;0.1054
PF3D7_0505200;0.0965;1.178;-0.1185;-0.0895;-0.2395;0.339;0.15;0.002;-0.193;0.3535
PF3D7_0505300;-0.071;1.0005;1.0695;0.651;0.073;0.6745;0.905;0.5925;-0.3625;0.3655
PF3D7_0505400;1.0115;1.8535;1.274;1.6515;1.231;1.401;1.211;1.294;0.858;0.556
PF3D7_0505500;-0.2365;-0.0395;-0.0595;0.0755;-0.3725;0.1685;0.535;-0.0975;-0.787;-0.7035
PF3D7_0505600;-0.056;0.522;0.445;0.781;0.263;-0.222;0.709;0.47;-0.034;-0.386
PF3D7_0505700;0.378;0.2475;0.3035;0.3295;-0.054;0.4655;0.7725;0.281;-0.241;-0.3655
PF3D7_0505800;0.389;0.845;-0.547;0.283;-0.652;0.928;0.91;0.426;-0.011;-0.326
PF3D7_0505900;-0.417;-0.67;-1.626;-1.775;-2.146;-0.083;0.212;-0.64;-1.099;-1.182
PF3D7_0506100;-1.007;-0.646;-1.035;-0.916;-1.663;-0.741;-0.496;-1.195;-1.238;-1.68
PF3D7_0506300;-0.458;0.9785;0.047;0.474;0.103;0.4015;0.38;0.4715;-0.488;0.13
PF3D7_0506400;-0.918;0.042;-1.415;-0.534;-1.766;0.064;-1.481;-0.214;-1.819;-0.425
PF3D7_0506500;-0.2648;-0.1325;-0.309;0.0215;0.0257;-0.71745;-0.05955;-0.54375;-0.8271;-0.3237
PF3D7_0506700;0.234;0.53;0.779;1.0315;0.668;0.4105;0.4835;0.2365;-0.189;-0.214
PF3D7_0506800;-0.196;1.0535;0.434;-0.2375;-0.1755;-0.273;0.1695;-0.172;-0.078;-0.456
PF3D7_0506900;0.4255;0.5545;0.8855;1.313;0.635;0.391;0.984;1.1375;1.4055;1.718
PF3D7_0507100;-0.354;-0.833;-0.988;-1.086;-1.87;-0.698;-0.585;-1.054;-1.691;-1.481
PF3D7_0507200;0.493;1.641;1.5025;2.0915;1.529;0.0775;1.0595;1.1755;1.225;0.9225
PF3D7_0507300;-1.9215;-1.293;-1.55;-1.653;-1.537;-2.02;-1.204;-0.5285;0.1915;0.82
PF3D7_0507400;-2.604;-1.208;-1.489;-1.25;-1.619;-2.281;-1.836;-0.361;0.537;1.127
PF3D7_0507500;-4.3495;-1.43;-0.246;0.4125;0.405;-4.3925;-2.2865;-0.8135;0.05;0.9875
PF3D7_0507600;-1.484;0.0505;0.0295;0.2665;0.2965;0.105;0.266;0.265;-2.894;-0.0285
PF3D7_0507700;0.3355;0.4595;0.2595;0.16;0.003;0.438;0.936;0.4655;0.114;-0.035
PF3D7_0507800;-1.0955;-1.6735;-0.231;-0.3685;-0.1405;-0.321666666666667;-0.453;-0.784;0.473;0.1125
PF3D7_0507900;-0.36;0.935;0.209;0.503;0.104;-0.085;0.437;0.224;-0.516;0.285
PF3D7_0508000;0.19;0.597;0.139;0.406;0.387;0.019;0.773;0.792;0.935;0.789
PF3D7_0508100;0.467;1.0195;1.099;1.29;1.27;0.637666666666667;1.06233333333333;1.34466666666667;0.374;0.831666666666667
PF3D7_0508200;0.717;0.652;1.023;1.941;0.949;0.312;0.759;0.127;0.122;-0.106
PF3D7_0508300;0.314;0.241;-0.472;-0.634;-1.168;0.567;0.623;-0.04;-0.544;-1.197
PF3D7_0508400;-0.7505;-0.314;-0.447;-0.07;-0.533;-0.154;-0.102;0.163;-0.0145;-0.017
PF3D7_0508500;-0.42275;0.496666666666667;0.49725;0.18275;-0.13525;-0.693;0.12675;0.512;0.7025;0.86025
PF3D7_0508600;0.135;0.945;0.728;0.807;0.509;-0.343;0.253;0.516;0.67;0.402
PF3D7_0508700;-0.182333333333333;0.695;0.590666666666667;0.804666666666667;0.423;-0.0843333333333333;0.228;0.0786666666666667;-0.354333333333333;-0.517
PF3D7_0508800;0.59;0.716;0.491;1.188;1.19;0.565;0.398;0.411;0.233;-0.141
PF3D7_0508900;0.199;1.123;1.5444;1.8486;1.778;0.4776;0.8088;1.1296;0.9832;1.2094
PF3D7_0509100;0.741333333333333;1.3655;1.194;1.45233333333333;0.967666666666667;0.976666666666667;1.26066666666667;0.948333333333333;0.349333333333333;0.303666666666667
PF3D7_0509200;0.371;0.485;-0.205;0.449;0.295;0.781;0.783;-0.041;-0.732;-0.205
PF3D7_0509400;-1.477;-1.5298;-0.966;-0.7852;-1.2106;-1.4328;-1.2468;-1.7042;-1.9662;-1.6908
PF3D7_0509500;0.7505;1.0485;0.916;0.9605;0.8695;1.0275;1.2075;0.756;0.2505;-0.0245
PF3D7_0509600;-0.663;-0.0365;-0.494;-0.63;0.773;-0.629;-1.248;-0.898;-0.884;0.5755
PF3D7_0509700;-1.2855;-0.431;-0.9255;-0.6045;-1.102;-0.8445;-0.0575;-0.629;-0.3855;0.0215
PF3D7_0509800;-0.726;-0.708;-0.419333333333333;-0.493333333333333;-0.744;-0.707;-0.637;-0.395666666666667;-0.371;0.163
PF3D7_0509900;-0.562;0.739;0.164;0.418;-0.052;-0.496;0.531;0.123;0.112;-0.053
PF3D7_0510000;0.3345;0.1975;0.014;0.02;-0.472;0.334;0.235;0.152;-0.1125;-0.0125
PF3D7_0510100;0.352;0.93825;0.8015;0.902;0.55575;0.205;0.80175;0.65075;0.5145;0.64225
PF3D7_0510200;0.114;-0.187;-0.0485;-0.0305;0.037;-0.087;0.239;-0.034;-0.0825;-0.275
PF3D7_0510300;-0.652;-0.663;0.263;0.666;0.29;-0.11;0.086;-0.065;-0.467;-0.142
PF3D7_0510400;-1.3385;-0.71;-0.8745;-0.703;-0.4755;-0.8275;-0.5725;-1.2655;-1.2895;-1.301
PF3D7_0510500;-0.1515;1.43;0.6275;0.99;0.7275;0.3185;0.721;0.424;-0.0925;-0.1855
PF3D7_0510800;-0.3555;-0.4105;-0.0565;0.142;-0.1895;-0.8775;0.0685;-0.25;-0.3285;-0.3495
PF3D7_0511000;-0.295;0.335;-0.909;-0.875;-1.12;-0.529;0.122;-0.208;-0.949;-1.282
PF3D7_0511100;0.506;0.672;-0.458;0.056;0.213;0.697;0.771;-0.087;-0.257;-0.014
PF3D7_0511200;0.7925;1.0235;0.308;0.1685;0.162;0.8415;1.2645;0.9295;0.5055;0.334
PF3D7_0511300;-0.352333333333333;-0.047;-0.581;-0.754;-1.0735;0.445;0.082;-0.0226666666666667;5.054;0.251333333333333
PF3D7_0511400;0.778;-2.322;-0.823;-0.485;-0.762;-0.663;-1.304;0.29;-0.222;-0.32
