X;CycTP1;CycTP1.2;CycTP2;CycTP3;CycTP3.2;CycTP4;CycTP5;CycTP5.2;CycTP6;CycTP1c;CycTP1.2c;CycTP2c;CycTP3c;CycTP3.2c;CycTP4c;CycTP5c;CycTP5.2c;CycTP6c
PF3D7_0811200;-0.168333816;-0.13159164;-0.492807517;-0.281599471;-0.098582881;-0.212046941;-0.003775679;-0.158415291;-0.239714649;0.091374422;-0.048328696;-0.393103227;-0.022162834;-0.238453288;-0.62797981;-0.468480035;-0.396472043;-0.143267131
PF3D7_0811300;-0.2269165555;-0.3420414995;-0.133531237;-0.114408016;-0.103099651;-0.313409771;0.050863265;0.0893561255;0.0314804775;0.328044195;0.263848853;0.194931433;0.3848969525;0.330780812;-0.242406235;-0.016961509;-0.14346232;0.3927619
PF3D7_0811400;-0.614962995;-0.691186039;-0.488937261;-0.43642871;-0.400165835;-0.351710565;-0.1060206;-0.166297594;-0.404889169;0.296458379;0.302584729;0.062145121;0.022536114;0.115016834;-0.418863027;-0.278184073;-0.217743436;0.280014375
PF3D7_0811500;-0.331107551;0.035004838;-0.37926285;-0.14654846;-0.13636553;-0.431112272;-0.118411121;-0.211757398;-0.282103952;0.077644928;0.281878296;-0.131845664;0.1805546;0.080400511;0.320026273;0.512733388;0.496683642;0.740386712
PF3D7_0811600;-0.412140989;-0.437889918;-0.465035596;-0.155446004;-0.290587431;-0.370019229;-0.181622949;-0.198205092;-0.153159048;0.443585339;0.728431618;0.677746272;-0.289351152;-0.059238005;-0.52138878;-1.539090152;-1.580771977;-1.260452537
PF3D7_0811900;1.439400616;1.481347815;1.636176144;1.213688838;0.9700110375;1.305680717;0.8621615595;1.098307213;1.2964523615;-0.128443704;-0.050279944;-0.141940503;-0.364021128;-0.356511812;0.3137730515;-0.222312916;-0.380227539;-0.9094953965
PF3D7_0812100;0.017425362;0.052814085;-0.0444760655;0.199350116;0.031321759;0.080697103;0.340433264;-0.038985869;0.00618035249999999;0.394782824;0.106976361;-0.030145414;-0.293825849;-0.2135926965;-0.339204611;-0.333205979;-0.299360591;-0.192934306
PF3D7_0812200;0.141191856;0.609647951;0.5167759795;0.899455857;0.657573656;0.574975393;0.266164575;0.264250152;0.521932144;-0.4285544585;-0.532900472;-0.4513255955;-0.868308822;-0.7111527995;0.0116521745;-0.238919316;-1.2051010985;-0.6449234955
PF3D7_0812300;-0.640664865;-1.467470525;-0.727157051;-0.19197922;0.209959603;-0.554906571;-0.480062762;-1.010084704;-1.258958333;0.266849545;-0.291119349;-0.337154613;0.484151518;-0.104884743;0.521705053;0.622175469;0.992167093;0.423304186
PF3D7_0812400;0.341332713;0.526314973;0.556180615;0.285150501;0.22275029;0.300745909;0.236143946;0.221563171;0.299899769;0.054070019;0.054509068;0.10002728;-0.421503945;-0.162945699;0.077205274;0.019326473;0.026100043;0.036244112
PF3D7_0812600;0.219115251;0.200313243;-0.079461566;0.436913859;0.271921064;0.134314085;0.007401918;0.266979835;0.554461692;0.125006892;0.309996614;-0.176018059;-0.17907823;-0.176751651;-0.311493973;-0.545923318;-0.53199795;-0.336985835
PF3D7_0812700;0.362874355;0.349491535;0.39594467;0.268881038;0.342055595;0.466249445;-0.070948386;-0.003544265;0.011570805;0.185941292;0.304621148;0.048881735;-0.092870457;0.244579587;0.212441245;-0.075690911;-0.045545679;0.090896184
PF3D7_0813500;0.036133239;0.4309501225;0.5138045055;0.0775252725;-0.1325879555;-0.0596462415;-0.1094397635;0.072929345;0.00324643450000001;-0.187352506;-0.2566650195;0.12712144;-0.238902972;-0.215457146;-0.115946254;-0.314634972;-0.2194475675;-0.286976722
PF3D7_0813700;-0.923022525;-2.461666969;-1.683016736;-1.003533845;-2.475995108;-1.429863587;-0.616885024;-0.407359054;-0.84308304;-0.407746788;-0.409823889;-0.699895908;-0.292891835;-0.139076307;-1.185917331;-0.341809012;-0.27647157;0.005591086
PF3D7_0813800;0.668122035;1.208360283;1.58521927;0.177353566;0.58915968;0.933061812;0.545867485;0.852904261;0.21071973;0.086908068;0.596781023;0.368380255;0.080475628;-0.118563281;0.672368269;0.603883217;0.399282778;0.579600356
PF3D7_0813900;-0.693485019;-0.648652936;-0.598002871;-0.555450448;-0.592209952;-0.733411256;-0.729146969;-0.705291859;-0.698186688;-0.389910696;-0.380708781;-0.441291354;-0.369998249;-0.237006306;-0.898714589;-0.671959358;-0.677722378;-0.153346221
PF3D7_0814000;-0.60046752;-0.591343243;-0.638628789;-0.709770297;-0.687690134;-0.620340041;-0.279880248;-0.390999088;-0.556698794;-0.299269897;-0.221906832;-0.292769421;-0.181676949;-0.070020664;-0.636026674;-0.077476523;-0.241208127;-0.031767228
PF3D7_0814300;-1.183556832;-1.17769463;-1.125949518;-1.332170437;-1.709804792;-1.538823684;-0.924050268;-1.004521067;-1.392484305;0.530945706;0.310031432;0.15988775;0.189381653;0.430080584;-0.715324075;-0.210089963;0.108266066;0.371544519
PF3D7_0814400;0.4707138025;0.6080793375;0.620727612;1.0321553345;1.024743573;0.885352786;0.880797769;1.1495922365;1.264549798;0.9436983215;1.177522707;0.7293632215;0.7395056425;1.0174217795;1.7296346945;0.7605731815;0.6654324255;0.600425142
PF3D7_0814500;0.464977841;0.6474547895;0.0780203515;0.8378739805;0.7129280235;0.6592095455;0.5836221465;0.8276413975;0.96019811;0.894128176;0.882814972;0.85651529;1.870240283;1.612357262;2.552548478;2.427583173;2.2571885895;1.973711185
PF3D7_0815200;-0.229762992;-0.267176447;-0.24542766;-0.385938425;-1.941187237;-0.24585733;-0.495488895;-0.504236404;-0.374555035;-0.431567633;-0.553600812;-0.434699791;-0.68420274;-0.772433446;-0.494639188;-0.557720795;-0.486231784;-0.461627141
PF3D7_0815300;-0.426782613;0.03910977;-0.32843904;0.468802766;0.339050412;0.282389893;0.19209615;0.338077265;0.865172017;0.016085313;-0.044150149;-0.164897533;0.205761965;0.194521123;-0.092541155;-0.294885419;-0.046102835;0.468125211
