;variable;relative_importance;scaled_importance;percentage
466;PF07_0059;0,015267516;0,029995021;0,000337174
467;PF11_0384;0,015262507;0,02998518;0,000337063
468;PF11_0144;0,015258018;0,029976361;0,000336964
469;PFL0130c;0,015242503;0,02994588;0,000336621
470;PF14_0042;0,015228615;0,029918595;0,000336315
471;PF11_0099;0,015225592;0,029912656;0,000336248
472;PFC0520w;0,015220153;0,029901969;0,000336128
473;PF07_0065;0,015212994;0,029887905;0,00033597
474;PFD0170c;0,015205187;0,029872568;0,000335797
475;PF11_0115;0,015199363;0,029861126;0,000335669
476;PF07_0100;0,01519828;0,029858998;0,000335645
477;PFF0435w;0,015197415;0,029857299;0,000335626
478;PF11_0078;0,015195484;0,029853505;0,000335583
479;PF13_0024;0,015167201;0,029797939;0,000334958
480;PFI1115c;0,015131375;0,029727555;0,000334167
481;PFD0980w;0,015126219;0,029717425;0,000334053
482;PFI1510w;0,015120642;0,029706469;0,00033393
483;PF14_0695;0,015113;0,029691453;0,000333761
484;PFL1415w;0,015095684;0,029657435;0,000333379
485;PFF0655c;0,015088327;0,029642981;0,000333216
486;PFL0635c;0,015085312;0,029637058;0,00033315
487;PFF1300w;0,015072795;0,029612467;0,000332873
488;PF13_0179;0,01504706;0,029561907;0,000332305
489;PFF1045w;0,015036119;0,029540412;0,000332063
490;PF11_0374;0,015030782;0,029529926;0,000331946
491;PF14_0381;0,015026259;0,02952104;0,000331846
492;PFL2175w;0,015013968;0,029496894;0,000331574
493;PFF1265w;0,015011034;0,029491129;0,000331509
494;PFL1845c;0,015008298;0,029485754;0,000331449
495;PFL1365w;0,015006096;0,029481427;0,0003314
496;PF14_0661;0,015005562;0,029480377;0,000331389
497;MAL7P1.151;0,01499271;0,02945513;0,000331105
498;PF11_0506;0,014964645;0,029399991;0,000330485
499;PFI0195c;0,014961656;0,02939412;0,000330419
500;MAL13P1.292;0,014954503;0,029380065;0,000330261
501;PF14_0057;0,014947327;0,029365969;0,000330102
502;PF14_0395;0,014940106;0,029351782;0,000329943
503;PF14_0515;0,014934671;0,029341103;0,000329823
504;PF13_0317;0,014930312;0,02933254;0,000329727
505;PF11_0303;0,014925166;0,029322431;0,000329613
506;PF10_0165;0,014912148;0,029296855;0,000329326
507;PF14_0632;0,014901485;0,029275905;0,00032909
508;PFF0760w;0,014888844;0,02925107;0,000328811
509;PFE1405c;0,01488708;0,029247605;0,000328772
510;PF10_0289;0,01488071;0,029235091;0,000328631
