X;HDATP1;HDATP1.1;HDATP2;HDATP2.2;HDATP3;HDATP3.3;HDATP1c;HDATP1c2
PF3D7_0507400;-0.635;0.311;-0.541;0.434;0.191;-0.156;-0.003;0.834
PF3D7_0507500;0.457;1.6975;0.902;1.2955;1.1385;1.216;-0.6795;0.887
PF3D7_0507600;-0.963;0.115;-0.823;0.2585;0.2175;0.204;0.0475;0.0365
PF3D7_0507700;-0.7315;-0.204;-0.523;0.072;-0.079;0.043;0.264;0.2235
PF3D7_0507800;-0.149;0.0773333333333333;-0.201333333333333;0.0363333333333333;-0.00466666666666667;-0.154333333333333;-0.112333333333333;-0.041
PF3D7_0507900;-0.485;0.009;0.134;-0.142;-0.012;-0.03;0.39;0.129
PF3D7_0508000;-0.625;0.133;-1.074;0.257;0.209;0.116;-0.192;-0.065
PF3D7_0508100;-0.379333333333333;0.145666666666667;-0.765333333333333;0.295666666666667;0.0206666666666667;0.117666666666667;-0.0313333333333333;0.107333333333333
PF3D7_0508200;1.852;0.759;1.908;0.336;0.817;0.752;0.14;0.152
PF3D7_0508300;-1.297;-0.626;-0.692;-0.466;-0.321;-0.326;0.037;-0.197
PF3D7_0508400;-0.663;0.1425;-0.8655;0.562;0.326;0.4115;0.2305;0.5355
PF3D7_0508500;-0.3035;0.3915;-0.569;0.6205;0.199;0.27275;0.13125;0.407
PF3D7_0508600;NA;0.341;-0.134;0.125;-0.164;0.107;NA;0.389
PF3D7_0508700;-0.372666666666667;-0.253333333333333;-0.133666666666667;-0.188333333333333;-0.571333333333333;-0.536333333333333;-0.160666666666667;-0.313333333333333
PF3D7_0508800;0.637;0.607;0.131;0.497;0.271;0.124;-0.054;0.067
PF3D7_0508900;0.8494;0.7526;0.6058;0.5414;0.3386;0.199;-0.1984;-0.056
PF3D7_0509000;-0.716;-0.884;-0.837;-0.149;0.439;0.324;0.632;0.612
PF3D7_0509100;-1.03533333333333;-0.572;-0.857666666666667;-0.21;-0.3875;-0.649;-0.125;-0.214333333333333
PF3D7_0509200;1.154;-1.297;0.319;0.264;0.487;0.443;0.378;0.419
PF3D7_0509300;0.847;0.138;0.48;0.086;0.171;0.438;-0.072;-0.234
PF3D7_0509400;0.168;0.0626;0.0706;0.058;-0.032;0.0642;-0.171;-0.2156
